time_utc,board_temp,board_volts_core,board_volts_sdram_c,board_volts_sdram_i,board_volts_sdram_p,board_throttled,gps_latitude,gps_longitude,gps_altitude,gps_ascending_rate,gps_speed,gps_heading,capsule_temp,capsule_humidity,capsule_pressure,capsule_baro_altitude,out_temp,out_humidity,out_pressure,out_baro_altitude
2021-04-27T19:39:56.909+00:00,49.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,25031.36,5.00,57.83,257.33,24.57,31.72,951.95888,465.65,24.74,29.41,951.11473,466.58
2021-04-27T19:39:59.431+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,25217.01,5.00,57.83,257.33,24.57,31.77,951.97274,465.35,24.76,29.36,951.11473,466.48
2021-04-27T19:40:02.198+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,25397.48,5.00,57.83,257.33,24.58,31.76,951.94889,465.61,24.75,29.41,951.11246,466.64
2021-04-27T19:40:04.709+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,25771.81,5.00,57.83,257.33,24.55,31.88,951.97219,465.61,24.74,29.44,951.14007,466.40
2021-04-27T19:40:07.231+00:00,50.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,25927.64,5.00,57.83,257.33,24.56,31.71,951.94252,465.66,24.73,29.42,951.12155,466.35
2021-04-27T19:40:09.756+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,26170.21,5.00,57.83,257.33,24.57,31.79,951.96748,465.38,24.78,29.52,951.11858,466.54
2021-04-27T19:40:12.406+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,26350.54,5.00,57.83,257.33,24.59,31.74,951.95555,465.47,24.74,29.41,951.07700,466.35
2021-04-27T19:40:14.930+00:00,49.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,26621.45,5.00,57.83,257.33,24.56,31.77,951.97110,465.53,24.73,29.43,951.12545,466.34
2021-04-27T19:40:17.466+00:00,49.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,26784.48,5.00,57.83,257.33,24.56,31.81,951.97081,465.92,24.75,29.49,951.10181,466.64
2021-04-27T19:40:20.016+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,26937.73,5.00,57.83,257.33,24.54,31.80,951.94781,465.89,24.73,29.50,951.10449,466.25
2021-04-27T19:40:22.648+00:00,49.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,27348.98,5.00,57.83,257.33,24.58,31.74,951.94253,465.64,24.73,29.28,951.12038,466.37
2021-04-27T19:40:25.266+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,27627.43,5.00,57.83,257.33,24.56,31.77,951.96111,465.86,24.73,29.37,951.11817,466.48
2021-04-27T19:40:27.790+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,27760.15,5.00,57.83,257.33,24.55,31.79,951.98109,465.79,24.74,29.44,951.10239,466.62
2021-04-27T19:40:30.313+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,27955.23,5.00,57.83,257.33,24.54,31.80,951.95112,465.63,24.73,29.45,951.10244,466.45
2021-04-27T19:40:32.838+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,28427.32,5.00,57.83,257.33,24.59,31.84,951.95889,465.66,24.74,29.35,951.12487,466.13
2021-04-27T19:40:35.438+00:00,50.3,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,28652.96,5.00,57.83,257.33,24.55,31.79,951.94781,465.63,24.73,29.51,951.12941,466.13
2021-04-27T19:40:37.970+00:00,49.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,28822.29,5.00,57.83,257.33,24.55,31.80,951.97274,465.83,24.73,29.43,951.08614,466.28
2021-04-27T19:40:40.496+00:00,50.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,29001.28,5.00,57.83,257.33,24.54,31.71,951.97274,465.66,24.73,29.43,951.10524,466.75
2021-04-27T19:40:43.007+00:00,49.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,29417.93,5.00,57.83,257.33,24.59,31.80,951.93558,465.86,24.75,29.44,951.09447,466.36
2021-04-27T19:40:45.623+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,29667.31,5.00,57.83,257.33,24.54,31.77,951.93448,465.64,24.73,29.45,951.10804,466.53
2021-04-27T19:40:48.246+00:00,49.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,29907.57,5.00,57.83,257.33,24.54,31.78,951.95141,465.64,24.72,29.45,951.09796,466.33
2021-04-27T19:40:50.775+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,30289.68,5.00,57.83,257.33,24.53,31.67,951.94612,465.63,24.73,29.34,951.11089,466.32
2021-04-27T19:40:53.370+00:00,50.3,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,30471.37,5.00,57.83,257.33,24.59,31.89,951.96721,465.83,24.75,29.43,951.09557,466.48
2021-04-27T19:40:55.945+00:00,50.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,30659.12,5.00,57.83,257.33,24.55,31.70,951.96748,465.76,24.73,29.47,951.12551,466.48
2021-04-27T19:40:58.456+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,30830.87,5.00,57.83,257.33,24.54,31.77,951.94946,465.88,24.72,29.35,951.11933,466.24
2021-04-27T19:41:00.976+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,31275.42,5.00,57.83,257.33,24.54,31.76,951.94282,465.92,24.73,29.44,951.07204,466.12
2021-04-27T19:41:03.499+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,31417.19,5.00,57.83,257.33,24.54,31.85,951.97552,465.50,24.75,29.42,951.16424,466.09
2021-04-27T19:41:06.134+00:00,50.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,31550.57,5.00,57.83,257.33,24.56,31.76,951.94086,465.51,24.73,29.40,951.11590,466.15
2021-04-27T19:41:08.665+00:00,50.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,31969.21,5.00,57.83,257.33,24.55,31.64,951.96110,465.63,24.73,29.38,951.13057,466.49
2021-04-27T19:41:11.169+00:00,49.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,32225.83,5.00,57.83,257.33,24.54,31.79,951.97276,465.70,24.73,29.33,951.11194,466.45
2021-04-27T19:41:13.702+00:00,50.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,32482.22,5.00,57.83,257.33,24.55,31.71,951.96416,465.94,24.75,29.36,951.13442,466.40
2021-04-27T19:41:16.549+00:00,50.3,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,32666.43,5.00,57.83,257.33,24.57,31.73,951.94889,466.24,24.74,29.38,951.12207,466.77
2021-04-27T19:41:19.079+00:00,49.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,33147.59,5.00,57.83,257.33,24.55,31.71,951.95916,465.97,24.72,29.49,951.13052,466.74
